Reference,Rock,P’[MPa],Permeability [nD],Porosity [%],Breakthrough pressure [MPa]
Amann-Hildenbrand et al. 2013,Opalinus Clay,25,6.9,11.6,4.1
Amann-Hildenbrand et al. 2013,Opalinus Clay,25,2.0,13.0,17.5
Amann-Hildenbrand et al. 2013,Opalinus Clay,25,2.5,13.0,14.0
Boulin et al. 2013,Ketzin Claystone,7,31.8,15.0,10.4
Boulin et al. 2013,Ketzin Claystone,25,15.6,15.0,13.0
Boulin et al. 2013,Claystone,27,14.5,15.0,10.9
Boulin et al. 2013,Claystone,27,18.0,15.0,13.6
Espinoza & Santamarina 2017,Precipitated Calcium Carbonate,5,787,54.5,0.53
Espinoza & Santamarina 2017,Kaolinite SA1,5,340,38.6,1.47
Espinoza & Santamarina 2017,Kaolinite SA1,5,1100,38.6,0.81
Espinoza & Santamarina 2017,Kaolinite RP2,5,1510,42.2,1.8
Espinoza & Santamarina 2017,Montmorillonite,5,86,41.0,0.85
Espinoza & Santamarina 2017,Montmorillonite,5,20,40.6,1.6
Hildenbrand et al. 2004,Boom Clay,20,557,24.4,5.8
Hildenbrand et al. 2004,Boom Clay,20,24.3,23.5,6.0
Hildenbrand et al. 2004,Boom Clay,20,64.8,23.4,5.4
Hildenbrand et al. 2004,Boom Clay,20,17.2,23.4,5.2
Hildenbrand et al. 2004,Boom Clay,20,22.0,24.0,5.6
Hildenbrand et al. 2004,Boom Clay,20,23.3,24.0,6.1
Hildenbrand et al. 2004,Boom Clay,20,19.2,24.0,2.9
Hildenbrand et al. 2004,Rotliegend siltstone,10,5.5,4.4,4.1
Hildenbrand et al. 2004,Rotliegend siltstone,10,5.7,5.5,5.8
Hildenbrand et al. 2004,Rotliegend siltstone,10,12,4.7,5.5
Hildenbrand et al. 2004,Saint Lattier Marlstone,10,0.6,3.1,5.7
Hildenbrand et al. 2004,Saint Lattier Marlstone,10,2.8,5.9,5.6
Hildenbrand et al. 2004,Saint Lattier Limestone,10,29,4.4,5.3
Hildenbrand et al. 2004,Oolith,10,2.3,3.5,5.6
Kim & Makhnenko 2024,Clayey Eau Claire Shale,15,2634,8,0.40
Kim & Makhnenko 2024,Sandy Opalinus Clay,8.0,32.5,12.0,2
Kim & Makhnenko 2024,Sandy Opalinus Clay,8.5,30.9,12.0,3
Kim & Makhnenko 2024,Sandy Opalinus Clay,9.0,29.3,12.0,4
Kim & Makhnenko 2023b,Sandy Maquoketa Shale,15,112,6,0.8
Kim & Makhnenko 2023b,Clayey Maquoketa Shale,15,3.6,5,9
Kim & Makhnenko 2023b,Maquoketa Shale,20,3.2,5,10
Kim & Makhnenko 2023b,Maquoketa Shale,25,2.8,5,11
Makhnenko et al. 2017,Shaly Opalinus Clay,22,4.0,12.4,9.2
Makhnenko et al. 2017,Shaly Opalinus Clay,17,4.5,12.5,8.9
Makhnenko et al. 2017,Remolded Opalinus Clay,22,30,15.0,4.3
Makhnenko et al. 2017,Remolded Opalinus Clay,17,40,15.4,2.8
Makhnenko et al. 2017,Remolded Opalinus Clay,12,58,16.0,4.1
Tonnet et al. 2011,Rousse caprock,9.5,0.7,0.5,7.6
Tonnet et al. 2011,Rousse caprock,8.5,2.5,3.0,4.5
Wollenweber et al. 2010,Cenomanian limestone,10,7.0,6.0,0.74
Wollenweber et al. 2010,Cenomanian limestone,10,10.0,6.0,0.41
Wollenweber et al. 2010,Emscher marlstone,10,32,15.0,0.64
Wollenweber et al. 2010,Emscher marlstone,10,41,15.0,0.49
Wollenweber et al. 2010,Emscher marlstone,10,40,15.0,0.43
Rezaeyan et al. 2015,Shale from Zagros Basin,21,6200,3,2.7
Rezaeyan et al. 2015,Anhydrate,28,890,0.1,27.8
Kim and Santamarina 2013,Kinderhook Chatanooga Shale,3,10000,4.0,0.03
Kawaura et al. 2013,Mudrock,7,1800,30.4,0.63
Angeli et al. 2009,Draupne Shale,5.5,60,23.7,3.6
Skurveit et al. 2012,Draupne Shale,9.7,12.3,21.0,4.3
Egermann et al. 2006,Sandstone,,1400,13,1.0
Egermann et al. 2006,Carbonate,,44000,17.0,0.31
Egermann et al. 2006,Carbonate,,16000,14.5,0.60
Egermann et al. 2006,Caprock,,600,11.4,1.7
Ono et al. 2013,Kiwada Siltstone,5,1510,45.3,1.0
Ito et al. 2011,Mudstone,7.7,679,27.8,4.2
Ito et al. 2011,Mudstone,7.7,270,25.5,1.0
Ito et al. 2011,Mudstone,7.7,270,28.2,2.75
Li et al. 2005,Weyburn Midale Evaporite,15,6.5,0.3,9.2
Li et al. 2005,Weyburn Midale Evaporite,15,26,0.7,5.0

