Number of data points,Reference,Rock,Entry fluid,P’[MPa],Permeability [nD],Porosity [%],Breakthrough pressure [MPa]
1,Amann-Hildenbrand, 2013,Shale,He,9,0.74,4.30,3.60
2,Amann-Hildenbrand, 2013,Shale,He,14,0.87,4.30,4.10
3,Amann-Hildenbrand, 2013,Shale,Hg,12,0.27,4.50,4.20
4,Amann-Hildenbrand, 2013,Shale,Hg,8,1.52,9.10,3.80
5,Amann-Hildenbrand, 2013,Shale,Hg,9,4.05,8.70,4.70
6,Amann-Hildenbrand, 2013,Shale,Hg,20,24.26,8.70,2.70
7,Amann-Hildenbrand, 2013,Shale,Hg,26,14.52,5.00,3.20
8,Amann-Hildenbrand, 2013,Shale,Hg,20,1.42,13.00,3.30
9,Amann-Hildenbrand, 2013,Shale,Hg,24,4.01,5.40,4.90
10,Amann-Hildenbrand, 2013,Opalinus Clay,Hg,25,6.87,11.60,4.10
11,Amann-Hildenbrand, 2013,Boom Clay,He,24,15.20,24.00,0.30
12,Amann-Hildenbrand, 2013,Boom Clay,Hg,5,53.70,26.70,0.80
13,Ito et al., 2011,Mudstone,N2,8,679.00,27.78,2.14
14,Ito et al., 2011,Mudstone,N2,8,270.00,25.54,0.85
15,Ito et al., 2011,Mudstone,N2,8,270.00,28.19,2.64
16,Harrington & Horseman, 1999,Boom Clay,He,4,261.40,3.91,1.21
17,Harrington & Horseman, 1999,Boom Clay,He,4,80.04,1.61,1.88
18,Harrington & Horseman, 1999,Boom Clay,He,4,123.61,1.61,1.93
19,Harrington & Horseman, 1999,Boom Clay,He,4,70.92,1.87,1.17
20,Harrington & Horseman, 1999,Boom Clay,He,4,49.65,0.54,1.32
21,Harrington & Horseman, 1999,Boom Clay,He,4,26.34,1.61,1.63
22,Harrington & Horseman, 1999,Boom Clay,He,7,54.71,1.87,3.57
23,Harrington & Horseman, 1999,Boom Clay,He,7,54.71,1.17,1.72
24,Harrington & Horseman, 1999,Boom Clay,He,7,49.65,0.07,1.77
25,Harrington & Horseman, 1999,Boom Clay,He,7,49.65,0.63,1.77
26,Harrington & Horseman, 1999,Boom Clay,He,4,670.72,1.87,0.48
27,Harrington & Horseman, 1999,Boom Clay,He,4,98.28,1.87,1.01
28,Harrington & Horseman, 1999,Boom Clay,He,4,36.47,1.17,0.38
29,Hildenbrand et al., 2002,Opalinus Clay,N2,20,10.03,10.20,16.20
30,Hildenbrand et al., 2002,Opalinus Clay,N2,20,3.44,10.40,14.40
31,Hildenbrand et al., 2002,Boom Clay,N2,20,23.50,23.50,14.20
32,Hildenbrand et al., 2002,Boom Clay,N2,20,23.40,25.50,19.70
33,Hildenbrand et al., 2002,Mudrock,N2,20,4.30,26.10,18.80
34,Hildenbrand et al., 2002,Mudrock,N2,20,9.30,26.10,17.50
35,Hildenbrand et al., 2002,Mudrock,N2,20,30.90,29.90,6.00
36,Hildenbrand et al., 2002,Mudrock,N2,20,19.70,29.90,9.90
37,Hildenbrand et al., 2004,Mudrock,N2,20,0.71,18.70,15.60
38,Hildenbrand et al., 2004,Mudrock,N2,20,4.36,26.10,18.80
39,Hildenbrand et al., 2004,Mudrock,N2,20,9.42,26.10,17.50
40,Hildenbrand et al., 2004,Mudrock,N2,20,31.41,29.90,6.00
41,Hildenbrand et al., 2004,Mudrock,N2,20,20.26,29.90,9.90
42,Hildenbrand et al., 2004,Mudrock,N2,20,9.32,24.90,9.90
43,Hildenbrand et al., 2004,Boom Clay,N2,20,557.24,24.40,14.00
44,Hildenbrand et al., 2004,Boom Clay,N2,20,24.32,23.50,14.20
45,Hildenbrand et al., 2004,Boom Clay,N2,20,66.87,23.40,17.70
46,Hildenbrand et al., 2004,Boom Clay,N2,20,64.86,23.40,16.40
47,Hildenbrand et al., 2004,Boom Clay,N2,20,17.22,23.40,16.50
48,Hildenbrand et al., 2004,Boom Clay,N2,20,23.30,24.00,14.00
49,Hildenbrand et al., 2004,Boom Clay,N2,20,23.30,24.00,14.10
50,Hildenbrand et al., 2004,Mudrock,N2,20,1.01,4.40,12.30
51,Hildenbrand et al., 2004,Silty mudrock,CH4,20,3.55,2.70,17.20
52,Hildenbrand et al., 2004,Silty mudrock,CH4,20,0.51,1.10,17.00
53,Hildenbrand et al., 2004,Silty mudrock,CH4,20,3.04,1.10,17.30
54,Hildenbrand et al., 2004,Mudrock,CH4,20,0.30,0.70,16.50
55,Hildenbrand et al., 2004,Mudrock,CH4,20,0.85,0.70,16.80
56,Hildenbrand et al., 2004,Claystone,CH4,20,0.81,0.60,17.40
