Number of data points,Reference,Rock,Entry fluid,P’[MPa],Permeability [nD],Porosity [%],SSA [m2g-1],Pore radius [nm],Clay content [%],Breakthrough pressure [MPa]
1,Amann-Hildenbrand, 2013,Shale,He,9,0.74,4.30,7.70,7.00,34,3.60
2,Amann-Hildenbrand, 2013,Shale,Hg,12,0.27,4.50,23.30,4.00,38,4.20
3,Amann-Hildenbrand, 2013,Shale,Hg,9,4.05,8.70,25.90,5.00,39,4.70
4,Amann-Hildenbrand, 2013,Shale,Hg,20,24.26,8.70,22.50,8.00,41,2.70
5,Amann-Hildenbrand, 2013,Shale,Hg,26,14.52,5.00,12.90,7.00,40,3.20
6,Amann-Hildenbrand, 2013,Shale,Hg,20,1.42,13.00,31.70,7.00,35,3.30
7,Amann-Hildenbrand, 2013,Shale,Hg,24,4.01,5.40,19.50,4.00,37,4.90
8,Amann-Hildenbrand, 2013,Opalinus Clay,Hg,25,6.87,11.60,39.00,7.00,60,4.10
9,Amann-Hildenbrand, 2013,Boom Clay,He,24,15.20,24.00,17.40,24.00,43,0.30
10,Amann-Hildenbrand, 2013,Boom Clay,Hg,5,53.70,26.70,44.30,32.00,59,0.80
11,Hildenbrand et al., 2002,Opalinus Clay,N2,20,10.03,10.20,26.80,13.00,43,16.20
12,Hildenbrand et al., 2002,Opalinus Clay,N2,20,3.44,10.40,26.80,13.00,43,14.40
13,Hildenbrand et al., 2002,Boom Clay,N2,20,23.50,23.50,23.60,21.00,17,14.20
14,Hildenbrand et al., 2002,Boom Clay,N2,20,23.40,25.50,20.60,50.00,14,19.70
15,Hildenbrand et al., 20,Mudrock,N2,20,4.30,26.10,30.56,8.00,43,18.80
16,Hildenbrand et al., 20,Mudrock,N2,20,9.30,26.10,30.56,20.00,43,17.50
17,Hildenbrand et al., 20,Mudrock,N2,20,30.90,29.90,26.21,42.00,46,6.00
18,Hildenbrand et al., 20,Mudrock,N2,20,19.70,29.90,26.21,21.00,46,9.90
19,Hildenbrand et al., 2004,Mudrock,N2,20,0.71,18.70,27.90,6.00,70,15.60
20,Hildenbrand et al., 2004,Mudrock,N2,20,4.36,26.10,30.60,8.00,43,18.80
21,Hildenbrand et al., 2004,Mudrock,N2,20,9.42,26.10,30.60,20.00,43,17.50
22,Hildenbrand et al., 2004,Mudrock,N2,20,31.41,29.90,26.20,42.00,48,6.00
23,Hildenbrand et al., 2004,Mudrock,N2,20,20.26,29.90,26.20,21.00,48,9.90
24,Hildenbrand et al., 2004,Mudrock,N2,20,9.32,24.90,22.50,16.00,46,9.90
25,Hildenbrand et al., 2004,Boom Clay,N2,20,557.24,24.40,20.10,260.00,17,14.00
26,Hildenbrand et al., 2004,Boom Clay,N2,20,24.32,23.50,23.60,26.00,17,14.20
27,Hildenbrand et al., 2004,Boom Clay,N2,20,66.87,23.40,20.60,70.00,14,17.70
28,Hildenbrand et al., 2004,Boom Clay,N2,20,64.86,23.40,20.60,35.00,14,16.40
29,Hildenbrand et al., 2004,Boom Clay,N2,20,17.22,23.40,20.60,18.00,14,16.50
30,Hildenbrand et al., 2004,Boom Clay,N2,20,23.30,24.00,48.20,33.00,51,14.00
31,Hildenbrand et al., 2004,Boom Clay,N2,20,23.30,24.00,48.20,47.00,51,14.10
32,Kim & Makhnenko, 2023b,Maquoketa Shale*,Hg,15,101.32,4.70,0.59,120.00,18.54,0.59
33,Kim & Makhnenko, 2023b,Maquoketa Shale*,Hg,15,2.74,3.80,5.23,4.70,46.27,10.50
34,Wollenweber et al., 2010,Mudrock,He,10,7.00,6.00,3.80,15.00,0,1.81
35,Wollenweber et al., 2010,Mudrock,He,10,12.00,6.00,3.80,15.00,0,0.62
36,Wollenweber et al., 2010,Mudrock,He,10,42.00,15.00,21.10,33.00,21,0.44
